Date,City,State,Temperature_Max (°C),Temperature_Min (°C),Temperature_Avg (°C),Humidity (%),Rainfall (mm),Wind_Speed (km/h),AQI,AQI_Category,Pressure (hPa),Cloud_Cover (%)
2024-01-22,Mumbai,Maharashtra,31.2,18.0,24.6,57.0,0.0,8.5,198,Moderate,1021.2,20.8
2024-01-23,Mumbai,Maharashtra,31.3,19.5,25.4,53.7,0.0,6.7,172,Moderate,1020.3,47.5
2024-01-24,Mumbai,Maharashtra,31.4,19.0,25.2,48.4,0.0,10.3,176,Moderate,1024.7,5.5
2024-01-25,Mumbai,Maharashtra,30.9,18.8,24.8,59.7,0.0,12.0,158,Moderate,1022.7,17.0
2024-01-26,Mumbai,Maharashtra,29.5,18.4,23.9,55.3,0.0,10.6,174,Moderate,1025.0,38.2
2024-01-27,Mumbai,Maharashtra,31.1,18.9,25.0,46.1,0.0,8.3,181,Moderate,1021.7,26.4
2024-01-28,Mumbai,Maharashtra,29.4,20.1,24.8,52.7,0.0,8.4,223,Poor,1022.8,52.6
2024-01-29,Mumbai,Maharashtra,33.0,18.1,25.6,45.2,0.0,7.7,178,Moderate,1022.1,7.2
2024-01-30,Mumbai,Maharashtra,32.6,18.9,25.8,41.1,0.0,7.0,138,Moderate,1020.2,3.5
2024-01-31,Mumbai,Maharashtra,32.5,20.8,26.7,47.5,0.0,9.4,208,Poor,1020.8,33.9
2024-02-01,Mumbai,Maharashtra,34.1,18.9,26.5,47.9,0.0,8.2,190,Moderate,1018.7,0.1
2024-02-02,Mumbai,Maharashtra,31.8,19.8,25.8,51.8,0.0,6.8,180,Moderate,1022.1,14.6
2024-02-03,Mumbai,Maharashtra,32.0,19.7,25.8,38.9,0.0,8.5,167,Moderate,1022.6,16.4
2024-02-04,Mumbai,Maharashtra,30.4,20.4,25.4,46.8,0.0,7.5,158,Moderate,1023.1,32.1
2024-02-05,Mumbai,Maharashtra,31.5,20.0,25.8,46.9,0.0,9.2,216,Poor,1022.2,26.0
2024-02-06,Mumbai,Maharashtra,30.7,20.3,25.5,52.0,0.0,9.0,174,Moderate,1020.6,23.9
2024-02-07,Mumbai,Maharashtra,31.9,18.5,25.2,52.3,0.0,8.0,136,Moderate,1024.0,12.1
2024-02-08,Mumbai,Maharashtra,30.3,18.9,24.6,65.6,0.0,8.6,179,Moderate,1022.7,35.1
2024-02-09,Mumbai,Maharashtra,29.0,20.9,25.0,58.1,0.0,8.8,197,Moderate,1023.5,74.2
2024-02-10,Mumbai,Maharashtra,30.9,19.4,25.2,47.9,0.0,11.0,167,Moderate,1023.5,27.4
2024-02-11,Mumbai,Maharashtra,30.8,17.9,24.3,51.9,0.0,8.5,149,Moderate,1020.5,19.7
2024-02-12,Mumbai,Maharashtra,30.7,18.4,24.5,41.0,0.0,7.8,148,Moderate,1021.3,0.0
2024-02-13,Mumbai,Maharashtra,31.1,18.0,24.6,45.8,0.0,8.2,148,Moderate,1022.0,9.2
2024-02-14,Mumbai,Maharashtra,30.4,17.3,23.8,46.3,0.0,14.0,185,Moderate,1018.3,15.6
2024-02-15,Mumbai,Maharashtra,30.0,19.1,24.5,33.7,0.0,7.3,166,Moderate,1018.0,10.7
2024-02-16,Mumbai,Maharashtra,32.0,19.0,25.5,48.2,0.0,8.3,127,Moderate,1017.3,17.4
2024-02-17,Mumbai,Maharashtra,29.7,20.9,25.3,52.4,0.0,8.2,172,Moderate,1019.6,42.7
2024-02-18,Mumbai,Maharashtra,30.8,19.9,25.3,58.0,0.0,8.3,165,Moderate,1019.0,35.2
2024-02-19,Mumbai,Maharashtra,31.5,20.2,25.9,46.8,0.0,7.0,154,Moderate,1016.5,15.2
2024-02-20,Mumbai,Maharashtra,32.8,17.9,25.4,37.8,0.0,8.1,137,Moderate,1019.7,0.9
2024-02-21,Mumbai,Maharashtra,30.1,20.3,25.2,50.8,0.0,7.7,136,Moderate,1019.2,36.6
2024-02-22,Mumbai,Maharashtra,30.4,19.8,25.1,37.4,0.0,9.2,178,Moderate,1021.6,17.3
2024-02-23,Mumbai,Maharashtra,31.8,18.2,25.0,38.1,0.0,11.5,153,Moderate,1023.2,0.0
2024-02-24,Mumbai,Maharashtra,31.0,19.9,25.4,53.1,0.0,9.4,162,Moderate,1019.8,27.8
2024-02-25,Mumbai,Maharashtra,29.0,19.3,24.1,50.8,0.0,8.9,157,Moderate,1017.8,33.0
2024-02-26,Mumbai,Maharashtra,31.0,17.0,24.0,49.5,0.0,9.7,155,Moderate,1020.4,0.0
2024-02-27,Mumbai,Maharashtra,29.6,18.6,24.1,36.6,0.0,9.1,138,Moderate,1019.0,7.1
2024-02-28,Mumbai,Maharashtra,29.9,18.6,24.2,47.2,0.0,8.6,143,Moderate,1018.3,17.0
2024-02-29,Mumbai,Maharashtra,30.1,19.2,24.7,48.3,0.0,10.9,166,Moderate,1016.8,28.6
2024-03-01,Mumbai,Maharashtra,30.3,16.8,23.5,52.6,0.0,8.1,178,Moderate,1017.8,11.9
2024-03-02,Mumbai,Maharashtra,31.1,16.8,23.9,49.9,0.0,7.0,121,Moderate,1018.1,7.2
2024-03-03,Mumbai,Maharashtra,30.9,18.3,24.6,54.0,0.0,7.7,140,Moderate,1019.7,28.7
2024-03-04,Mumbai,Maharashtra,31.7,19.2,25.4,54.0,0.0,7.5,162,Moderate,1018.8,11.4
2024-03-05,Mumbai,Maharashtra,30.8,21.5,26.2,47.0,0.0,15.4,163,Moderate,1021.1,25.2
2024-03-06,Mumbai,Maharashtra,32.0,18.3,25.2,51.3,0.0,11.7,169,Moderate,1018.9,2.7
2024-03-07,Mumbai,Maharashtra,33.2,18.2,25.7,38.4,0.0,8.9,118,Moderate,1018.1,0.0
2024-03-08,Mumbai,Maharashtra,31.7,19.0,25.3,44.8,0.0,7.5,166,Moderate,1016.6,28.8
2024-03-09,Mumbai,Maharashtra,33.1,20.6,26.8,51.2,0.0,10.9,129,Moderate,1014.6,20.9
2024-03-10,Mumbai,Maharashtra,31.5,21.3,26.4,42.3,0.0,8.8,154,Moderate,1015.5,30.5
2024-03-11,Mumbai,Maharashtra,31.3,19.1,25.2,49.3,0.0,8.1,149,Moderate,1015.4,10.9
2024-03-12,Mumbai,Maharashtra,32.4,17.5,25.0,46.4,0.0,8.8,100,Moderate,1011.6,7.4
2024-03-13,Mumbai,Maharashtra,29.6,20.2,24.9,57.9,0.0,8.2,141,Moderate,1014.6,37.7
2024-03-14,Mumbai,Maharashtra,31.2,18.9,25.0,43.9,0.0,9.6,145,Moderate,1019.6,0.0
2024-03-15,Mumbai,Maharashtra,31.7,19.8,25.8,51.8,0.0,6.9,128,Moderate,1016.8,35.7
2024-03-16,Mumbai,Maharashtra,31.7,21.1,26.4,53.7,0.0,9.6,115,Moderate,1015.0,36.3
2024-03-17,Mumbai,Maharashtra,31.2,21.0,26.1,46.7,0.0,8.2,88,Satisfactory,1016.5,30.1
2024-03-18,Mumbai,Maharashtra,33.1,18.7,25.9,41.9,0.0,10.9,128,Moderate,1011.7,8.6
2024-03-19,Mumbai,Maharashtra,33.2,19.7,26.5,46.9,0.0,11.8,114,Moderate,1015.8,6.5
2024-03-20,Mumbai,Maharashtra,31.0,19.1,25.0,47.6,0.0,12.7,85,Satisfactory,1018.1,15.9
2024-03-21,Mumbai,Maharashtra,31.8,19.5,25.6,41.9,0.0,15.9,88,Satisfactory,1015.0,0.4
2024-03-22,Mumbai,Maharashtra,33.4,18.2,25.8,44.4,0.0,12.5,106,Moderate,1011.4,5.0
2024-03-23,Mumbai,Maharashtra,31.2,19.6,25.4,58.1,0.0,10.8,93,Satisfactory,1014.1,27.8
2024-03-24,Mumbai,Maharashtra,31.9,19.0,25.5,47.9,0.0,7.0,114,Moderate,1017.3,27.9
2024-03-25,Mumbai,Maharashtra,32.0,17.9,25.0,43.0,0.0,6.3,76,Satisfactory,1015.3,4.5
2024-03-26,Mumbai,Maharashtra,30.9,19.9,25.4,41.8,0.0,11.3,129,Moderate,1011.6,28.4
2024-03-27,Mumbai,Maharashtra,30.4,19.2,24.8,50.0,0.0,7.4,109,Moderate,1019.2,25.8
2024-03-28,Mumbai,Maharashtra,31.7,19.6,25.6,56.1,0.0,20.5,48,Good,1011.6,40.1
2024-03-29,Mumbai,Maharashtra,32.5,19.4,26.0,53.8,0.0,6.7,53,Satisfactory,1013.4,26.8
2024-03-30,Mumbai,Maharashtra,30.9,21.7,26.3,51.4,0.0,10.7,117,Moderate,1011.5,33.5
2024-03-31,Mumbai,Maharashtra,32.5,20.2,26.4,53.9,0.0,9.1,109,Moderate,1011.4,25.4
2024-04-01,Mumbai,Maharashtra,32.1,21.1,26.6,54.1,0.0,6.8,106,Moderate,1012.3,32.4
2024-04-02,Mumbai,Maharashtra,33.2,20.8,27.0,48.8,0.0,9.1,113,Moderate,1014.2,0.5
2024-04-03,Mumbai,Maharashtra,32.7,20.2,26.4,52.3,0.0,7.5,115,Moderate,1015.5,17.3
2024-04-04,Mumbai,Maharashtra,30.4,19.6,25.0,56.8,0.0,8.6,96,Satisfactory,1012.4,19.4
2024-04-05,Mumbai,Maharashtra,30.1,18.3,24.2,48.2,0.0,8.6,85,Satisfactory,1011.2,17.1
2024-04-06,Mumbai,Maharashtra,28.8,18.0,23.4,45.3,0.0,7.6,82,Satisfactory,1014.2,27.3
2024-04-07,Mumbai,Maharashtra,28.9,18.0,23.4,55.9,0.0,8.1,98,Satisfactory,1014.1,30.1
2024-04-08,Mumbai,Maharashtra,29.1,17.6,23.3,55.9,0.0,7.5,119,Moderate,1013.5,26.9
2024-04-09,Mumbai,Maharashtra,28.6,17.5,23.0,58.5,0.0,6.6,87,Satisfactory,1013.5,19.2
2024-04-10,Mumbai,Maharashtra,30.8,16.5,23.7,54.9,0.0,9.0,114,Moderate,1012.4,11.1
2024-04-11,Mumbai,Maharashtra,31.4,19.9,25.7,62.2,0.0,12.6,78,Satisfactory,1012.1,35.7
2024-04-12,Mumbai,Maharashtra,32.2,18.8,25.5,53.5,0.0,7.6,90,Satisfactory,1011.4,25.5
2024-04-13,Mumbai,Maharashtra,32.3,19.5,25.9,47.1,0.0,14.8,114,Moderate,1013.6,6.3
2024-04-14,Mumbai,Maharashtra,31.6,20.0,25.8,41.8,0.0,16.0,93,Satisfactory,1015.8,18.1
2024-04-15,Mumbai,Maharashtra,33.6,18.4,26.0,46.1,0.0,8.0,113,Moderate,1011.5,0.0
2024-04-16,Mumbai,Maharashtra,31.5,20.2,25.8,46.8,0.0,8.4,56,Satisfactory,1011.0,21.6
2024-04-17,Mumbai,Maharashtra,32.2,20.2,26.2,49.7,0.0,8.1,121,Moderate,1011.3,18.3
2024-04-18,Mumbai,Maharashtra,32.6,19.4,26.0,48.1,0.0,7.2,71,Satisfactory,1009.3,13.3
2024-04-19,Mumbai,Maharashtra,30.4,21.3,25.8,57.2,0.0,8.5,63,Satisfactory,1012.1,43.9
2024-04-20,Mumbai,Maharashtra,33.3,19.5,26.4,45.5,0.0,8.3,20,Good,1011.1,5.3
2024-04-21,Mumbai,Maharashtra,32.7,20.9,26.8,56.2,0.0,9.1,71,Satisfactory,1009.1,31.4
2024-04-22,Mumbai,Maharashtra,32.3,21.3,26.8,42.7,0.0,9.2,38,Good,1011.6,52.4
2024-04-23,Mumbai,Maharashtra,31.6,20.0,25.8,54.9,0.0,7.2,74,Satisfactory,1009.9,37.7
2024-04-24,Mumbai,Maharashtra,32.5,19.4,26.0,56.6,0.0,10.4,30,Good,1007.7,22.3
2024-04-25,Mumbai,Maharashtra,33.1,20.3,26.7,56.1,0.0,8.5,99,Satisfactory,1010.0,6.7
2024-04-26,Mumbai,Maharashtra,32.8,20.6,26.7,49.9,0.0,7.5,72,Satisfactory,1009.6,3.8
2024-04-27,Mumbai,Maharashtra,34.6,20.3,27.4,57.2,0.0,8.5,106,Moderate,1010.7,16.9
2024-04-28,Mumbai,Maharashtra,34.0,23.1,28.5,48.0,0.0,9.4,30,Good,1010.0,12.7
2024-04-29,Mumbai,Maharashtra,34.3,23.3,28.8,47.1,0.0,13.7,74,Satisfactory,1007.9,12.4
2024-04-30,Mumbai,Maharashtra,34.2,21.7,27.9,52.0,0.0,13.0,15,Good,1007.2,18.8
2024-05-01,Mumbai,Maharashtra,34.8,21.4,28.1,50.1,0.0,8.2,56,Satisfactory,1008.0,22.2
2024-05-02,Mumbai,Maharashtra,34.0,22.7,28.3,48.1,0.0,8.8,34,Good,1008.5,30.6
2024-05-03,Mumbai,Maharashtra,35.6,21.8,28.7,44.2,0.0,7.8,39,Good,1008.4,6.7
2024-05-04,Mumbai,Maharashtra,33.9,23.7,28.8,43.0,0.0,9.9,31,Good,1007.9,14.7
2024-05-05,Mumbai,Maharashtra,34.2,23.1,28.6,53.4,0.0,8.4,25,Good,1007.0,22.6
2024-05-06,Mumbai,Maharashtra,34.4,24.6,29.5,50.2,0.0,8.9,15,Good,1008.8,22.0
2024-05-07,Mumbai,Maharashtra,33.6,23.2,28.4,56.0,0.0,12.0,23,Good,1005.6,51.5
2024-05-08,Mumbai,Maharashtra,38.2,28.6,33.4,46.5,0.0,7.6,46,Good,1010.3,29.2
2024-05-09,Mumbai,Maharashtra,38.3,26.7,32.5,47.4,0.0,13.3,53,Satisfactory,1007.0,4.4
2024-05-10,Mumbai,Maharashtra,37.8,26.5,32.2,55.7,0.0,10.4,40,Good,1003.1,33.5
2024-05-11,Mumbai,Maharashtra,37.8,26.1,32.0,47.1,0.0,13.1,51,Satisfactory,1005.6,36.0
2024-05-12,Mumbai,Maharashtra,37.5,26.4,31.9,44.7,0.0,11.3,15,Good,1006.7,27.1
2024-05-13,Mumbai,Maharashtra,39.2,26.4,32.8,52.3,0.0,11.9,16,Good,1004.0,11.9
2024-05-14,Mumbai,Maharashtra,36.4,26.6,31.5,51.4,0.0,9.6,46,Good,1001.9,54.8
2024-05-15,Mumbai,Maharashtra,32.8,21.0,26.9,56.2,0.0,8.0,41,Good,1004.0,15.8
2024-05-16,Mumbai,Maharashtra,32.2,23.1,27.6,66.7,0.0,8.6,15,Good,1006.8,40.2
2024-05-17,Mumbai,Maharashtra,33.0,21.9,27.5,66.0,0.0,8.4,51,Satisfactory,1002.1,34.5
2024-05-18,Mumbai,Maharashtra,34.3,23.5,28.9,62.1,0.0,7.5,20,Good,1002.1,39.9
2024-05-19,Mumbai,Maharashtra,35.2,25.3,30.2,64.6,4.0,12.5,15,Good,1005.6,55.2
2024-05-20,Mumbai,Maharashtra,36.4,25.9,31.1,68.6,0.0,9.7,34,Good,1003.6,39.3
2024-05-21,Mumbai,Maharashtra,35.0,25.0,30.0,43.8,0.0,8.6,25,Good,1002.9,25.0
2024-05-22,Mumbai,Maharashtra,34.0,23.9,29.0,59.7,0.3,16.9,15,Good,1003.4,49.6
2024-05-23,Mumbai,Maharashtra,34.1,23.1,28.6,61.9,0.0,19.8,15,Good,1001.4,26.2
2024-05-24,Mumbai,Maharashtra,32.5,22.9,27.7,59.8,0.0,8.3,15,Good,1005.4,38.6
2024-05-25,Mumbai,Maharashtra,33.4,22.2,27.8,63.7,0.0,9.7,15,Good,1002.6,18.9
2024-05-26,Mumbai,Maharashtra,32.4,22.0,27.2,59.3,0.0,9.7,42,Good,1003.2,23.7
2024-05-27,Mumbai,Maharashtra,32.8,21.9,27.4,64.0,8.3,8.8,17,Good,1004.8,39.6
2024-05-28,Mumbai,Maharashtra,32.7,24.5,28.6,62.6,0.0,13.0,28,Good,1003.1,44.1
2024-05-29,Mumbai,Maharashtra,33.6,23.0,28.3,55.9,0.0,8.1,30,Good,1002.1,16.1
2024-05-30,Mumbai,Maharashtra,32.3,23.3,27.8,63.7,0.0,15.9,15,Good,999.5,48.0
2024-05-31,Mumbai,Maharashtra,33.1,21.1,27.1,65.0,0.0,10.7,15,Good,1004.3,30.9
2024-06-01,Mumbai,Maharashtra,31.2,21.9,26.5,67.5,0.0,17.1,15,Good,1003.7,61.4
2024-06-02,Mumbai,Maharashtra,30.4,22.3,26.4,72.0,0.0,10.7,15,Good,1002.4,39.6
2024-06-03,Mumbai,Maharashtra,32.2,20.4,26.3,68.9,0.0,10.2,15,Good,1001.3,29.7
2024-06-04,Mumbai,Maharashtra,32.9,22.3,27.6,74.4,0.0,13.8,21,Good,1002.8,46.6
2024-06-05,Mumbai,Maharashtra,32.8,23.9,28.4,60.3,0.0,17.3,15,Good,1003.4,33.2
2024-06-06,Mumbai,Maharashtra,31.2,25.8,28.5,64.9,4.3,16.4,36,Good,1002.5,64.7
2024-06-07,Mumbai,Maharashtra,32.8,23.9,28.4,70.3,0.0,9.0,15,Good,1005.5,47.9
2024-06-08,Mumbai,Maharashtra,33.5,23.3,28.4,85.2,0.0,15.2,28,Good,1003.5,46.7
2024-06-09,Mumbai,Maharashtra,32.1,22.4,27.3,81.1,20.1,10.6,21,Good,1002.0,58.8
2024-06-10,Mumbai,Maharashtra,31.4,22.7,27.1,68.1,5.5,11.1,15,Good,1003.6,37.5
2024-06-11,Mumbai,Maharashtra,34.5,22.9,28.7,71.5,0.0,10.7,15,Good,1001.7,33.5
2024-06-12,Mumbai,Maharashtra,30.7,24.9,27.8,79.8,2.6,10.4,28,Good,1001.8,58.8
2024-06-13,Mumbai,Maharashtra,32.8,23.7,28.2,65.1,0.0,11.1,15,Good,1004.0,38.4
2024-06-14,Mumbai,Maharashtra,32.6,23.7,28.2,79.7,1.3,10.1,15,Good,999.5,39.4
2024-06-15,Mumbai,Maharashtra,33.2,24.7,29.0,78.1,1.4,15.8,15,Good,1001.0,67.0
2024-06-16,Mumbai,Maharashtra,33.9,25.1,29.5,77.9,4.8,13.6,15,Good,1003.1,63.3
2024-06-17,Mumbai,Maharashtra,35.0,24.8,29.9,73.4,0.0,12.4,15,Good,1001.1,39.2
2024-06-18,Mumbai,Maharashtra,33.0,25.9,29.5,82.2,0.0,11.3,15,Good,999.8,49.3
2024-06-19,Mumbai,Maharashtra,34.1,24.6,29.4,72.7,21.0,11.1,15,Good,997.0,46.3
2024-06-20,Mumbai,Maharashtra,32.9,26.4,29.6,76.8,24.5,13.2,15,Good,995.7,84.7
2024-06-21,Mumbai,Maharashtra,31.5,26.5,29.0,85.6,0.1,12.8,15,Good,1004.4,73.8
2024-06-22,Mumbai,Maharashtra,30.5,24.8,27.7,71.7,0.0,15.4,15,Good,1001.2,57.0
2024-06-23,Mumbai,Maharashtra,30.8,23.1,27.0,84.9,0.0,11.4,15,Good,999.5,72.3
2024-06-24,Mumbai,Maharashtra,31.1,22.8,26.9,87.2,0.0,11.4,15,Good,1001.3,46.2
2024-06-25,Mumbai,Maharashtra,30.9,24.4,27.7,86.3,14.8,14.1,15,Good,998.4,56.2
2024-06-26,Mumbai,Maharashtra,31.3,24.6,28.0,91.5,11.6,14.9,15,Good,999.4,67.8
2024-06-27,Mumbai,Maharashtra,32.1,25.3,28.7,90.6,9.1,21.7,15,Good,997.9,73.1
2024-06-28,Mumbai,Maharashtra,33.0,26.1,29.5,97.8,1.7,10.6,15,Good,996.7,65.8
2024-06-29,Mumbai,Maharashtra,32.6,27.6,30.1,84.1,49.0,17.1,15,Good,995.0,71.1
2024-06-30,Mumbai,Maharashtra,34.3,25.8,30.0,89.3,2.8,13.2,15,Good,996.0,69.6
2024-07-01,Mumbai,Maharashtra,33.3,25.5,29.4,85.6,36.2,12.1,15,Good,1001.4,67.4
2024-07-02,Mumbai,Maharashtra,33.0,26.5,29.7,92.5,0.0,14.1,15,Good,997.2,66.2
2024-07-03,Mumbai,Maharashtra,33.2,26.6,29.9,87.5,6.8,14.0,15,Good,1000.1,65.0
2024-07-04,Mumbai,Maharashtra,34.0,27.4,30.7,98.3,0.0,12.3,15,Good,1000.7,74.4
2024-07-05,Mumbai,Maharashtra,33.6,28.8,31.2,87.7,0.0,11.0,15,Good,998.6,77.3
2024-07-06,Mumbai,Maharashtra,33.8,27.4,30.6,97.9,11.5,17.6,15,Good,998.1,75.4
2024-07-07,Mumbai,Maharashtra,32.8,26.8,29.8,90.8,1.7,12.1,20,Good,999.2,57.2
2024-07-08,Mumbai,Maharashtra,33.5,26.5,30.0,88.6,0.0,11.9,20,Good,998.0,60.3
2024-07-09,Mumbai,Maharashtra,32.2,27.8,30.0,96.3,14.3,12.3,15,Good,1001.2,80.4
2024-07-10,Mumbai,Maharashtra,31.2,27.8,29.5,99.1,11.2,15.5,15,Good,1002.7,96.2
2024-07-11,Mumbai,Maharashtra,31.8,24.5,28.2,97.1,12.6,12.8,15,Good,1002.2,79.1
2024-07-12,Mumbai,Maharashtra,31.7,25.4,28.5,92.6,0.0,12.4,15,Good,994.9,71.4
2024-07-13,Mumbai,Maharashtra,31.4,25.7,28.5,92.4,0.0,14.4,22,Good,998.3,80.7
2024-07-14,Mumbai,Maharashtra,30.3,25.5,27.9,90.9,0.0,14.1,15,Good,999.3,62.5
2024-07-15,Mumbai,Maharashtra,29.7,25.9,27.8,92.1,43.3,12.6,15,Good,1000.3,97.1
2024-07-16,Mumbai,Maharashtra,30.1,24.2,27.1,100.0,26.5,11.5,15,Good,996.1,82.1
2024-07-17,Mumbai,Maharashtra,30.8,24.4,27.6,88.9,0.0,15.7,15,Good,996.0,70.1
2024-07-18,Mumbai,Maharashtra,30.0,26.4,28.2,95.2,0.0,14.2,15,Good,1001.9,77.0
2024-07-19,Mumbai,Maharashtra,30.9,24.6,27.7,99.0,1.0,11.4,15,Good,998.4,72.4
2024-07-20,Mumbai,Maharashtra,31.1,26.5,28.8,100.0,0.0,18.7,15,Good,996.2,97.7
2024-07-21,Mumbai,Maharashtra,32.0,25.0,28.5,87.5,0.0,11.4,15,Good,997.1,76.8
2024-07-22,Mumbai,Maharashtra,30.3,25.6,28.0,97.5,9.7,12.4,45,Good,1000.3,82.2
2024-07-23,Mumbai,Maharashtra,28.8,25.8,27.3,100.0,11.2,12.5,15,Good,998.1,88.5
2024-07-24,Mumbai,Maharashtra,29.7,24.5,27.1,96.2,3.5,12.7,31,Good,1000.4,70.2
2024-07-25,Mumbai,Maharashtra,28.9,24.7,26.8,100.0,4.7,12.7,26,Good,998.1,83.3
2024-07-26,Mumbai,Maharashtra,29.9,23.9,26.9,95.0,26.8,11.9,15,Good,996.6,84.3
2024-07-27,Mumbai,Maharashtra,28.7,24.4,26.5,83.4,0.6,14.0,15,Good,1003.1,58.8
2024-07-28,Mumbai,Maharashtra,29.2,24.4,26.8,100.0,23.9,16.2,15,Good,1001.1,83.7
2024-07-29,Mumbai,Maharashtra,31.5,24.4,28.0,94.0,0.0,14.0,15,Good,999.4,78.7
2024-07-30,Mumbai,Maharashtra,30.6,25.1,27.8,88.4,0.0,14.3,15,Good,999.1,80.9
2024-07-31,Mumbai,Maharashtra,31.8,25.3,28.5,95.2,16.9,13.0,15,Good,1003.0,78.9
2024-08-01,Mumbai,Maharashtra,30.4,26.6,28.5,100.0,4.6,13.8,15,Good,1001.4,81.7
2024-08-02,Mumbai,Maharashtra,29.5,26.5,28.0,93.5,5.3,14.4,47,Good,1002.7,96.7
2024-08-03,Mumbai,Maharashtra,33.1,24.7,28.9,100.0,7.9,15.2,15,Good,999.1,60.5
2024-08-04,Mumbai,Maharashtra,32.3,26.0,29.2,88.7,2.6,12.3,15,Good,1000.4,71.6
2024-08-05,Mumbai,Maharashtra,31.7,26.3,29.0,96.1,4.9,12.1,15,Good,1001.3,85.3
2024-08-06,Mumbai,Maharashtra,31.8,27.4,29.6,88.0,0.0,10.9,15,Good,999.4,81.8
2024-08-07,Mumbai,Maharashtra,32.0,26.3,29.1,94.3,7.2,19.9,15,Good,1000.6,81.2
2024-08-08,Mumbai,Maharashtra,30.8,27.6,29.2,97.1,13.1,19.4,15,Good,999.7,100.0
2024-08-09,Mumbai,Maharashtra,33.1,26.3,29.7,85.5,24.9,13.1,15,Good,1001.7,81.8
2024-08-10,Mumbai,Maharashtra,33.8,25.9,29.8,100.0,0.0,13.1,30,Good,998.4,88.3
2024-08-11,Mumbai,Maharashtra,32.5,25.4,29.0,87.1,15.9,17.8,15,Good,1002.5,68.0
2024-08-12,Mumbai,Maharashtra,32.2,25.5,28.9,84.5,1.6,11.3,33,Good,1002.2,57.7
2024-08-13,Mumbai,Maharashtra,31.7,27.4,29.6,92.7,23.7,11.6,15,Good,1001.1,66.0
2024-08-14,Mumbai,Maharashtra,33.4,29.1,31.3,97.9,1.5,17.9,15,Good,1002.1,78.6
2024-08-15,Mumbai,Maharashtra,35.9,28.0,31.9,92.3,6.2,12.3,15,Good,1000.5,73.2
2024-08-16,Mumbai,Maharashtra,33.4,28.0,30.7,81.1,3.2,11.2,43,Good,1000.4,73.0
2024-08-17,Mumbai,Maharashtra,34.1,27.4,30.7,85.4,0.0,13.8,26,Good,1003.0,63.5
2024-08-18,Mumbai,Maharashtra,33.8,25.8,29.8,74.6,11.2,11.5,15,Good,1003.5,61.0
2024-08-19,Mumbai,Maharashtra,33.6,24.9,29.2,88.9,15.5,16.7,15,Good,1001.7,63.2
2024-08-20,Mumbai,Maharashtra,31.9,25.7,28.8,78.6,29.3,12.7,15,Good,1001.8,75.2
